sh /tmp/rs.sh; echo RS_DONE_$?
=== trace size ===
  818 /root/deskmon.csv
=== is anything still alive? ===
  Xfbdev       -
  jwm          -
  st           -
  xfiles       -
  xcalc        -
  s31-deskmon  206
=== oom kills ===
  [ 3471.290719] InputThread invoked oom-killer: gfp_mask=0x140cca(GFP_HIGHUSER_MOVABLE|__GFP_COMP), order=0, oom_score_adj=0
  [ 3471.300459] oom-kill:constraint=CONSTRAINT_NONE,nodemask=(null),task=Xfbdev,pid=187,uid=0
  [ 3471.300744] Out of memory: Killed process 187 (Xfbdev) total-vm:15668kB, anon-rss:64kB, file-rss:484kB, shmem-rss:0kB, UID:0 pgtables:28kB oom_score_adj:0
=== BEGIN_CSV ===
uptime,xdata_kb,xrss_kb,xswap_kb,xmajflt,xcpu_ticks,updates,memavail_kb,swap_kb,jwm_kb,st_kb,xfiles_kb,xcalc_kb
1588,7888,3012,4376,1504,3039,25,2448,7836,100,8,8,
1596,7888,3012,4376,1504,3049,24,2344,7836,100,8,8,
1604,7888,3012,4376,1504,3059,25,2316,7836,100,8,8,
1611,7888,3012,4376,1504,3068,25,2380,7836,100,8,8,
1619,7888,3012,4376,1504,3078,24,2300,7836,100,8,8,
1627,7888,3012,4376,1504,3088,25,2384,7836,100,8,8,
1634,7888,3012,4376,1504,3098,25,2340,7836,100,8,8,
1642,7888,3012,4376,1504,3107,25,2308,7836,100,8,8,
1650,7888,3012,4376,1504,3116,24,2264,7836,100,8,8,
1657,7888,3012,4376,1504,3127,25,2272,7836,100,8,8,
1665,7888,3012,4376,1504,3136,25,2296,7836,100,8,8,
1673,7888,3012,4376,1504,3146,25,2276,7836,100,8,8,
1680,7888,3012,4376,1504,3156,24,2344,7836,100,8,8,
1688,7888,3012,4376,1504,3165,25,2224,7836,100,8,8,
1696,7888,3012,4376,1504,3175,25,2256,7836,100,8,8,
1704,7888,3012,4376,1504,3184,25,2248,7836,100,8,8,
1711,7888,3012,4376,1504,3194,24,2236,7836,100,8,8,
1719,7888,3012,4376,1504,3204,25,2204,7836,100,8,8,
1727,7888,3012,4376,1504,3215,25,2324,7836,100,8,8,
1734,7888,3012,4376,1504,3224,25,2252,7836,100,8,8,
1742,7888,3012,4376,1504,3234,24,2204,7836,100,8,8,
1750,7888,3012,4376,1504,3243,25,2200,7836,100,8,8,
1757,7888,3012,4376,1504,3252,25,2308,7836,100,8,8,
1765,7888,3012,4376,1504,3262,24,2324,7836,100,8,8,
1773,7888,3012,4376,1504,3271,25,2316,7836,100,8,8,
1780,7888,3012,4376,1504,3281,25,2240,7836,100,8,8,
1788,7888,3012,4376,1504,3290,25,2236,7836,100,8,8,
1796,7888,3012,4376,1504,3300,24,2204,7836,100,8,8,
1803,7888,3012,4376,1504,3310,25,2260,7836,100,8,8,
1811,7888,3012,4376,1504,3319,25,2196,7836,100,8,8,
1819,7888,3012,4376,1504,3329,24,2248,7836,100,8,8,
1826,7888,3012,4376,1504,3339,25,2196,7836,100,8,8,
1834,7888,3012,4376,1504,3347,25,2204,7836,100,8,8,
1842,7888,3012,4376,1504,3357,24,2316,7836,100,8,8,
1849,7888,3012,4376,1504,3367,25,2204,7836,100,8,8,
